Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/security-state-staging/intermediates/b3076cf4-85f5-4d34-9510-ccbf6447dd9b.pem-902,1,13,13,13,0,0.00%,76.92308,125,31.78,1664
/security-state-staging/intermediates/e375bc4e-f009-4334-9651-d8fd2934b83f.pem-890,1,18,18,18,0,0.00%,55.55556,116.54,22.95,2148
/security-state-staging/intermediates/c0fc7db3-2be8-492d-a2dc-cca6f8a62b09.pem-903,1,24,24,24,0,0.00%,41.66667,108.07,17.21,2656
/security-state-staging/intermediates/21a3c5f8-a0ec-4b86-96dc-fbde23e160d7.pem-906,1,16,16,16,0,0.00%,62.5,108.76,25.82,1782
/security-state-staging/intermediates/9808e62b-cdbd-44b3-941f-6f29f249116a.pem-905,1,15,15,15,0,0.00%,66.66667,181.64,27.54,2790
/security-state-staging/intermediates/4acf221b-66fc-4211-9056-7e3919e9081e.pem-904,1,22,22,22,0,0.00%,45.45455,131.92,18.78,2972
/security-state-staging/intermediates/92c082b5-f8f5-4f02-a1a2-d0a7112d4a35.pem-907,1,14,14,14,0,0.00%,71.42857,144.18,29.51,2067
/security-state-staging/intermediates/6652ce0d-3c54-446e-ace4-ab3bf3abd2a6.pem-908,1,13,13,13,0,0.00%,76.92308,142.73,31.78,1900
/security-state-staging/intermediates/4b699f50-0bbe-4fae-b162-c628ceafd5f0.pem-909,1,14,14,14,0,0.00%,71.42857,193.15,29.51,2769
/security-state-staging/intermediates/3a2aa500-087d-4576-a6e9-da5e391c759b.pem-910,1,13,13,13,0,0.00%,76.92308,131.46,31.78,1750
/security-state-staging/intermediates/4acf221b-66fc-4211-9056-7e3919e9081e.pem-912,1,19,19,19,0,0.00%,52.63158,152.75,21.74,2972
/security-state-staging/intermediates/c0fc7db3-2be8-492d-a2dc-cca6f8a62b09.pem-911,1,15,15,15,0,0.00%,66.66667,172.92,27.54,2656
/security-state-staging/intermediates/21a3c5f8-a0ec-4b86-96dc-fbde23e160d7.pem-913,1,19,19,19,0,0.00%,52.63158,91.59,21.74,1782
/security-state-staging/intermediates/9808e62b-cdbd-44b3-941f-6f29f249116a.pem-914,1,14,14,14,0,0.00%,71.42857,194.61,29.51,2790
/security-state-staging/intermediates/6652ce0d-3c54-446e-ace4-ab3bf3abd2a6.pem-916,1,13,13,13,0,0.00%,76.92308,142.73,31.78,1900
/security-state-staging/intermediates/4b699f50-0bbe-4fae-b162-c628ceafd5f0.pem-917,1,15,15,15,0,0.00%,66.66667,180.27,27.54,2769
/security-state-staging/intermediates/3a2aa500-087d-4576-a6e9-da5e391c759b.pem-918,1,16,16,16,0,0.00%,62.5,106.81,25.82,1750
/security-state-staging/intermediates/de481d0f-d78a-4134-95c5-8978b12cffcd.pem-921,1,16,16,16,0,0.00%,62.5,135.07,25.82,2213
/security-state-staging/intermediates/c67085e3-7aaf-4619-8123-8ca3775d7894.pem-919,1,28,28,28,0,0.00%,35.71429,74.92,14.75,2148
/security-state-staging/intermediates/18c23f9b-4d32-4990-ac2a-32121abff8ab.pem-920,1,13,13,13,0,0.00%,76.92308,138.15,31.78,1839
/security-state-staging/intermediates/bcac0eea-3b40-4ea0-82cb-0593ef39e464.pem-922,1,15,15,15,0,0.00%,66.66667,185.61,27.54,2851
/security-state-staging/intermediates/1d482bb3-92dc-4ec1-82a7-486a44d193d0.pem-923,1,13,13,13,0,0.00%,76.92308,168.04,31.78,2237
/security-state-staging/intermediates/d3c84332-b918-41de-8190-89370390db4d.pem-924,1,29,29,29,0,0.00%,34.48276,74.52,14.24,2213
/security-state-staging/intermediates/8b822dd3-618e-4f61-9cfd-061d4c50723d.pem-926,1,51,51,51,0,0.00%,19.60784,72.4,8.1,3781
/security-state-staging/intermediates/d895d3d2-5442-4881-a48c-ae38a7c0d9be.pem-925,1,16,16,16,0,0.00%,62.5,102.36,25.82,1677
/security-state-staging/intermediates/92c082b5-f8f5-4f02-a1a2-d0a7112d4a35.pem-915,1,16,16,16,0,0.00%,62.5,126.16,25.82,2067
/security-state-staging/intermediates/36c3a520-0118-469c-a721-cfd21fcfa174.pem-927,1,17,17,17,0,0.00%,58.82353,125.46,24.3,2184
